message,label
Hello, how are you today?,safe
Your account has been suspended, confirm now!,phishing
Click this suspicious link immediately!,http
Can we meet for dinner tomorrow?,safe
You've won a prize, claim it here!,phishing
Urgent: Update your payment info now!,phishing
This is a friendly reminder for your appointment.,safe
Check out this suspicious link: http://malicious-site.com,http
Beware of phishing scams targeting your bank account.,phishing
Have a great day!,safe
مرحبا، كيف يمكنني مساعدتك اليوم؟,safe
تم تعطيل حسابك، يرجى تأكيد المعلومات الآن,phishing
انقر على الرابط التالي للتحقق من حسابك,http
نرجو منك تحديث بياناتك الشخصية,phishing
تذكير ودي بموعدك القادم, safe
يرجى عدم مشاركة كلمة المرور مع أي أحد, safe
هذا الرابط قد يكون ضارًا، تجنب الضغط عليه,http
احذر من رسائل الاحتيال التي تطلب معلوماتك البنكية, phishing
شكراً لاستخدامك خدماتنا, safe
